date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:19:45	178382/178382	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2019:58:34%20GMT	https://www.gamespot.com/news/xbox-one/	C:/My%20Web%20Sites/gamespot/www.gamespot.com/news/xbox-one/index.html	(from https://www.gamespot.com/)
03:19:45	301644/301644	---M-Z	200	added ('OK')	application/javascript	etag:%225c194c4c-49a4c%22	https://static.gamespot.com/js/compiled/jquery.local.js?19fbee9856dc7fcab3a92b2fa1e670dc	C:/My%20Web%20Sites/gamespot/static.gamespot.com/js/compiled/jquery.local2e33.js	(from https://www.gamespot.com/)
03:19:45	102888/102888	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2020:19:45%20GMT	https://www.gamespot.com/feeds/	C:/My%20Web%20Sites/gamespot/www.gamespot.com/feeds/index.html	(from https://www.gamespot.com/)
03:19:46	1633708/1633708	---M-Z	200	added ('OK')	application/javascript	etag:%225c194c48-18edac%22	https://static.gamespot.com/js/compiled/all.js?19fbee9856dc7fcab3a92b2fa1e670dc	C:/My%20Web%20Sites/gamespot/static.gamespot.com/js/compiled/all2e33.js	(from https://www.gamespot.com/)
03:19:46	181067/181067	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2020:00:59%20GMT	https://www.gamespot.com/news/nintendo-switch/	C:/My%20Web%20Sites/gamespot/www.gamespot.com/news/nintendo-switch/index.html	(from https://www.gamespot.com/)
03:19:46	1692/1692	---M-Z	200	added ('OK')	application/javascript	etag:%225c194b32-69c%22	https://static.gamespot.com/js/compiled/site.js?19fbee9856dc7fcab3a92b2fa1e670dc	C:/My%20Web%20Sites/gamespot/static.gamespot.com/js/compiled/site2e33.js	(from https://www.gamespot.com/)
03:19:46	144200/144200	---M-Z	200	added ('OK')	application/javascript	etag:%225c194cb1-23348%22	https://static.gamespot.com/js/compiled/tracking.js?19fbee9856dc7fcab3a92b2fa1e670dc	C:/My%20Web%20Sites/gamespot/static.gamespot.com/js/compiled/tracking2e33.js	(from https://www.gamespot.com/)
03:19:47	0/0	---M--	302	error ('Found')	image/gif	date:Thu,%2027%20Dec%202018%2020:19:47%20GMT	https://dw.cbsi.com/clear/c.gif?ptid=2000&ednm=%7Bedition%7D&ursuid=%7Bursuid%7D&regSilo=2&rsid=cbsigamespotsite&prodtypid=8&pagetype=front_door&topicbrcrm=Home&sid=6&ts=1545941645	C:/My%20Web%20Sites/gamespot/dw.cbsi.com/clear/c.3f12a5.delayed	(from https://www.gamespot.com/)
03:19:47	42/42	---M--	200	added ('OK')	image/gif	date:Thu,%2027%20Dec%202018%2020:19:47%20GMT	https://dw.cbsi.com/clear/redx/c.gif?ptid=2000&ednm=%7Bedition%7D&ursuid=%7Bursuid%7D&regSilo=2&rsid=cbsigamespotsite&prodtypid=8&pagetype=front_door&topicbrcrm=Home&sid=6&ts=1545941645	C:/My%20Web%20Sites/gamespot/dw.cbsi.com/clear/redx/c12a5.gif	(from https://www.gamespot.com/)
03:19:47	2341/2341	---MCZ	200	added ('OK')	application/javascript	etag:%228c3752e674fdabefc911d5c40f71780d%22	http://tru.am/scripts/custom/cbsinteractive.js	C:/My%20Web%20Sites/gamespot/tru.am/scripts/custom/cbsinteractive.js	(from https://www.gamespot.com/)
03:19:48	547940/547940	---M-Z	200	added ('OK')	text/plain	etag:sqZtBxQDlhWnxzsomaMyjSKEEzFVJdqq	http://cdn.taboola.com/libtrc/cbsinteractive-gamespot/loader.js	C:/My%20Web%20Sites/gamespot/cdn.taboola.com/libtrc/cbsinteractive-gamespot/loader.js	(from https://www.gamespot.com/)
03:19:48	21880/21880	---M-Z	200	added ('OK')	application/javascript	etag:%225c194b56-5578%22	https://static.gamespot.com/js/compiled/427f5db.js?19fbee9856dc7fcab3a92b2fa1e670dc	C:/My%20Web%20Sites/gamespot/static.gamespot.com/js/compiled/427f5db2e33.js	(from https://www.gamespot.com/)
03:19:49	3167/3167	---M--	200	added ('OK')	application/javascript	etag:%22a5442c681a576408c25edbf365995343%22	http://js.agkn.com/prod/v0/tag.js	C:/My%20Web%20Sites/gamespot/js.agkn.com/prod/v0/tag.js	(from https://www.gamespot.com/)
03:19:49	228556/228556	---M-Z	200	added ('OK')	application/javascript	etag:%225c194b58-37ccc%22	https://static.gamespot.com/js/compiled/sourcepoint.js?19fbee9856dc7fcab3a92b2fa1e670dc	C:/My%20Web%20Sites/gamespot/static.gamespot.com/js/compiled/sourcepoint2e33.js	(from https://www.gamespot.com/)
03:20:06	254911/254911	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2020:19:53%20GMT	https://www.gamespot.com/shows/new_releases/	C:/My%20Web%20Sites/gamespot/www.gamespot.com/shows/New_Releases/index.html	(from https://www.gamespot.com/)
